name,url,price,country,region,origin_category,total_score,cupper_correction,cupping_dry_fragrance,cupping_wet_aroma,cupping_brightness,cupping_flavor,cupping_body,cupping_finish,cupping_sweetness,cupping_clean_cup,cupping_complexity,cupping_uniformity,flavor_floral,flavor_honey,flavor_sugars,flavor_caramel,flavor_fruits,flavor_citrus,flavor_berry,flavor_cocoa,flavor_nuts,flavor_rustic,flavor_spice,flavor_flavor_body,process_method,cultivar,cultivar_detail,farm_gate,processing,drying_method,arrival_date,lot_size,bag_size,packaging,grade,appearance,roast_recommendations,type,recommended_for_espresso,short_description,full_cupping_notes,farm_notes,watchlist_match,watchlist_farm,watchlist_tier,watchlist_credential_type,watchlist_credential_detail,watchlist_notes,watchlist_url
Brazil Cerrado Ana Maria Menezes,https://www.sweetmarias.com/brazil-cerrado-ana-maria-menezes-8604.html,$9.45,Brazil,"Carmo do Paranaíba, Minas Geraís",South America,86,3,8.2,8.5,7.6,8.2,9,8.2,8.3,8.2,8.5,8.3,0,0,2.5,3,0,0,0,4,3.5,2,0,4,Dry Process (Natural),Modern Hybrids,Catuaí,Yes,Dry Process (Natural),Patio Sun-Dried,February 2026 Arrival,59,60 KG,Ecotact Liner,Estate 15+,".8 d/300gr, 15-17 Screen",City+ to Full City+,Farm Gate,Yes,This lot delves into the savory nut and bittersweet chocolate flavors that Brazilian coffee is known for. Thick body and mild acidity make it a great coffee for milk drinks and espresso too! City+ to Full City+. Good for espresso.,"This lot delves into the savory nut and bittersweet chocolate flavors that Brazilian coffee is known for. Thick body and very mild acidity also make it a great espresso option for fans of bittersweet shots that stand up to steamed milk. The fragrance and aroma gave off raw and toasted nuts interspersed with roast-y dark, bittering. The cup is thick-textured, giving palpable weight to the deep, dark cocoa notes, mildly sweet up front that then fade to very long-lasting, bittering baking cocoa note. The profile has umami accents throughout that point to toasted nut and grains, peanut and almond, and lightly sweetened sunflower butter. The coffee ends where it starts, with reverberating bittersweetness that leaves a lot to contemplate.","Ana Maria Menezes manages her family farm, Lenheiros, in Carmo do Paranaíba, Cerrado Mineiro Region. The farm dates back 100 years, though it wasn't originally planted in coffee. It wasn't until 1984 that her husband, Valdir, made the decision to shift the focus to coffee production planting the first 10 hectares. Sadly, her husband passed away a few years later, leaving Ana with the decision of how to move forward. Ana quickly settled into farm management, navigating the harvest season, and reinvesting in upkeep and a slow expansion of new plants in between. The farm has grown to 75 hectares, planted in a mix of Catuaí (red and yellow), Mundo Novo, and Acauã. Ana still has a hand in daily operations, but the care of the farm is shared by her two children who are agronomists, as well as her husband, who also has a background in coffee.",,,,,,,
Brazil Dry Process Felipe Gonçalvez,https://www.sweetmarias.com/brazil-dry-process-felipe-goncalvez-8544.html,$9.50,Brazil,"Natércia, Minas Geraís",South America,86.5,3,8.2,8.5,8.3,8.4,9,7.8,8.3,8,8.5,8.5,0,1.5,2,3,1.5,0,0,4,3.5,3,0,4,Dry Process (Natural),"Bourbon Types, Modern Hybrids","Arara, Mundo Novo, Obata",Yes,Dry Process (Natural),Patio Sun-Dried,Nov 2025,61,60 KG,GrainPro Liner,Estate 15 Up,".6 d/300gr, 15-17 Screen",City+ to Full City+,Farm Gate,Yes,"Bittersweet profiles are accented by notes of raw nuts, and faint top notes bring out a pleasantly mild acidic hint. Flavors of hazelnut syrup, rustic prune, and chocolate liqueur. City+ to Full City+. Good for espresso.","The fragrance offers some rustic fruited hints in the background, with bolder bittersweet tones, and accents of raw nuts, like cashew and walnut. The wet aroma has a nice intensity to it, dark cocoa and toasted nuts, with hints of cooked fruit, and date cake. I've been enjoying my City+ roast quite a bit. It carries a moderate level of acidity, often a hole in the Brazilian cup profile. Don't get me wrong, low acidity is part of what's built such a fervent following for Brazilian coffee, and I assure those folks that this is not a ""bright"" coffee. But there is a mild 'snap' to the faint top notes I tasted in this otherwise bittersweet, and nutty profile, like rustic dried prune, a hint of Sherry, and hazelnut syrup. It's all very subtle, and comes into play as you move through it. Darker roast levels build a deep toned profiles of extra dark cacao bar, with accents of chocolate liqueur, baking cocoa, and a note of boiled peanut in the aftertaste.","This lot is from farmer Felipe Gonçalvez, who is the third generation to manage their family farm, Sítio Alto da Serra is a family-owned property now in its third generation. The farm was passed on to his father, Dominico, who is still very much a part of the daily operations. The property is located in the Mantiqueira region of Minas Gerais, in the municipality of Natércia. This area has soft sloping mountains, and Alto da Serra spans a range of 1100 to 1250 meters above sea level. Farms in this region are typically planted in a mix of Bourbon and disease resistent hybrids, like Arara, Mundo Novo, Obata and others. This particular lot was dry processed, meaning the whole coffee cherries were dried with the seeds intact. In Brazil, dry process coffee is known for round body and low acidity rather than fruit, making them a popular go-to base ingredient for blends. Like most Brazilian coffees the cup quality is bolstered with rest after roasting, where some of the disparate flavors coallesce and mellow out to some degree. We prefer at least 48 hours.",,,,,,,
Brazil Jacuí Tulio Arantes,https://www.sweetmarias.com/brazil-jacui-tulio-arantes-8606.html,$9.35,Brazil,"Jacuí, Minas Geraís",South America,85.5,4,7.8,8.2,7.5,8,9.4,7.8,8,7.8,8.5,8.5,0,0,2.5,2,0,0,0,4.5,4,3,0,4.5,Dry Process (Natural),"Bourbon Types, Modern Hybrids",Catuaí,Yes,Dry Process (Natural),Patio Sun-Dried and Mechanical Dryer,Feb 2026,65,60 KG,GrainPro Liner,Estate,".8 d/300gr, 15-17 Screen",Full City to Full City+,Farm Gate,Yes,"Mild sweetness pairs well with aggressive bass tones, and thick, creamy body. Cools to rich dark chocolate, pecan shortbread, and muted acidity that's unimposing. Full City to Full City+. Good for espresso.","Full City proved to be a good roast level for this coffee, where the brew showed mildly-sweet notes of almond milk and pecan shortbread, along with the rich chocolate bittering that I expected from the way the coffee smelled. The cup has a thick, creamy texture to it, which helps convey bass toned flavors, dark bittersweets, along with creamy hazelnut, and malted accents. Acidity is also unimposing, which I think some people will really enjoy. My Full City+ roast that reached the start of 2nd Crack was still a good representation of low toned Brazilian coffee, but the dominant features are smokey and bitter, which for me means cutting with cream! It should make an excellent espresso, but I'm waiting at least 5 days before trying my roasts.","Like so many other farmers, Tulio Arantes started working his family farm as a child, where he learned about planting, caring for, and harvesting coffee each growing season. At just 18, he bought his own small piece of land to plant a farm, eventually aquiring another. His farm is called Sitio Santana, and has an altitude of 1100 meters. It's located on the outskirts of Jacuí, which is part of south Minas Mogiana growing region. At just 8 hectares in total, Tulio is able to manage most of the operations with just the help of his family. This lot was dry processed, meaning the whole cherries are dried as one. While some dry process coffees can be fruity, Brazilian dry process coffees tend to be more body/bittersweet base, which has earned them the reputation of being the perfect base for blending.",,,,,,,
Brazil Machado Recanto do Engenho,https://www.sweetmarias.com/brazil-machado-recanto-do-engenho-8608.html,$9.40,Brazil,"Machado, Minas Geraís",South America,86.8,3,8.2,8.3,8.2,8.4,9.2,8,8.2,7.8,9,8.5,0,0,3,3,1.5,0,0,4.5,4,3.5,0,4,Dry Process (Natural),"Bourbon Types, Modern Hybrids",Catuaí,Yes,Dry Process (Natural),"Patio Sun-Dried, and Mechanical Dryer",February 2026 Arrival,109,60 KG,GrainPro Liner,Estate 16 Up,".6 d/300gr, 16+ Screen",City+ to Full City+,Farm Gate,Yes,"Great at medium to dark roast levels. Deep-toned flavors and umami accents, bittersweet chocolate, toasted sesame, walnut, hint of fruit leather, milky body. City+ to Full City+. Good for espresso.","From dry fragrance to the wet aroma, there's a sweet nutty side to the background bittersweetness that came through in both our City+ and medium Full City roast levels. I sensed Thai peanut sauce, nut brittle, with notes of brown ale, with dense, dark, rustic cocoa behind it. My favorite roast for brewing was Full City, though a slightly lighter level reveals more of the umami characteristics and a hint of acidity, which I think some will really enjoy. Full City roasts show dark-toned chocolates, with accents of toasted sesame and walnut notes that mark the aroma. There's also a rustic fruit leather accent that's slight, yet provides a nice contrasting note to the roast tones. I enjoyed the espresso shots I pulled too, and found a 1:1 ratio with wet hulled coffee makes an outstanding chocolaty shot (here's the one I tested for this review). The texture feels thick, like heavy whipping cream, with prominent bittersweet dark chocolate, baking cocoa bittering, and hints of leather and vanilla bean in the aromatics.","This creamy Brazilian coffee comes from Recanto do Engenho, a farm in the city of Machado, Minas Geraís. The farm has been in the Moreira family for two generations, and currently under the care of Adilson Moreira Soares and his family. The city's name, ""Machado"", translates to ""axe"" in Portuguese, and likely stems from the long agricultural history in this region, particularly coffee production. Recanto do Engenho sits at 1150 meters above sea level, and is planted in a mix of varieties that are harvested together. This is a dry process coffee, meaning the whole coffee cherries are picked and dried before removing the outer fruit. While this method is often associated with more fruit-forward flavors, that's not always the case. Especially in Brazil. Adilson's coffee brews big body and bittersweetness, with background umami flavors, and hint of fruit. We found that it worked excellent in the mid-to-dark roast range, and worked quite well as espresso and brewed coffee. All coffees benefit from resting, but particularly coffee from Brazil. There can be a harshness in the freshly roasted coffee, that tends to mellow out after 48 to 72 hours time. I let my espresso roast rest for 5 days before testing (but not necessary).",,,,,,,
Brazil Pulp Natural Andréia Moreira,https://www.sweetmarias.com/brazil-pulp-natural-andreia-moreira-8539.html,$9.45,Brazil,"São Sebastião da Bela Vista, Minas Geraís",South America,86,3.5,8.2,8.3,7.8,8.3,8.6,8,8.2,8.4,8.4,8.3,0,0,2,2.5,0,0,0,4,4,2,0,3.5,Pulp Natural,Modern Hybrids,,Yes,Pulp Natural,Patio Sun-dried,Nov 2025,50,60 KG,GrainPro Liner,Estate 15 Up,".6 d/300gr, 15-17 Screen",City+ to Full City+,Farm Gate,Yes,"Light accents of raw sugar and roasted nuts that shift to savory bittersweets at darker levels. Caramel peanut, almond meal, cocoa dusted almond, chocolate dipped pretzel. City+ to Full City+. Good for espresso.","The grinds are marked by savory-sweet notes of candied nuts, sweet peanut sauce, and a hint of sesame cracker. Adding hot water draws out mild chocolate tones as well, like creamy milk chocolate, sprinkled with roasted nuts. It brews a pleasantly mild Pulp Natural profile, lightly accented by raw sugar and nutty hints, with the lighter roasts give off a subtle acidic hint. We only tested City+ and Full City, but I wouldn't hesitate to take this coffee to the start of 2nd Crack. However, I would avoid taking it to a rolling 2nd Crack. It's a lower density coffee, and roasting too dark will see bittering flavors overpowering the milder sweet notes this coffee offers at lighter levels. City+ brought together a hint of brown sugar, with caramel drizzled peanut, marzipan, and almond meal. Full City roast had a note of chocolate dipped pretzel, and cocoa dusted almonds.","Andréia Moreira is a fifth generation coffee producer, and part of a long line of agricultural families in Southern Minas Geraís. Her farm, São José, is located in the rural hillside town of São Sebastião da Bela Vista at an altitude range of 900 to 1200 meters above sea level. She produces dry process and pulp natural coffees, this being the latter. Pulp natural is about the closest approximation of your typical washed/wet process coffee, but does not undergo any fermentation. Instead, they dry the coffee after the cherry pulp is mechanically removed, leaving behind a thin layer of fruit mucilage. It's actually more like a honey process in this way, and tends to produce mild flavors, body, and sometimes a hint of acidity. Andréia's coffee comes from a supplier from the nearby town of Santa Rita do Sapucaí, Agrorigem. It's run by a woman named Dani Alkmin who has made it her mission to bring the unique coffees from this beautiful part of Sul de Minas to the world. She's also president of “Mulheres Empreendedoras do Cafe”, a local women’s coffee association that includes all parts of the chain, and Andréia is a member.",,,,,,,
Burundi Colline Rugembe,https://www.sweetmarias.com/burundi-colline-rugembe-8660.html,$8.75,,"Colline Rugembe, Mutambu",Africa,87.9,1.5,8.5,8.7,8.6,8.7,8.8,8.5,8.7,8.4,8.5,9,0,2,4,4,2,2,0,4,0,0,2,4,Wet Process (Washed),Bourbon Types,Bourbon,Yes,Wet Process (Washed),Raised Bed Sun-Dried,May 2026,16,60 KG,GrainPro Liner,A1,".2 d/300gr, 15-17 Screen",City+ to Full City+,Farm Gate,Yes,"Versatile Burundi that roasts easily, with convincing bittersweetness and bright accents in both brewed coffee and espresso. Caramel, dark chocolate truffle, brisk tea note, spiced cocoa. City+ to Full City+. Good for espresso.","I tried this season's Rugembe as espresso first, not because I knew it would be a knockout (it is!), but because I needed a little pick me up to get me through the day. I was sure glad I did! Full City shots have the kind of bittersweet, bright character I love in espresso, a lot like a classic high grown Antiguan coffee from Guatemala. It reminded me just how versatile Burundi coffee can be. The dry fragrance has smells butter cream frosting and brown sugar, with delicate accents. The wet aroma smelled simple and clean, with layers of raw sugar, and a hint of tea. The brew follows suit, with convincing sweetness in all our roast tests, sugar in the raw, caramel, and butterscotch, followed by a malty note. The brew is well balanced and refreshingly simple, the acidity being a bit more forward in the lighter roasts, but not ""bright"" per se. More like brisk lemon tea, with a slight grabby aspect in the finish. Full City roasts show bittersweet notes that are balanced by a sweet underlay, a bit like inexpensive chocolates (think Lindt dark truffle, and Hershey's ""Extra Dark"") . Espresso shots are rich with dark chocolate syrup flavors, highlighted by tart lemon and a spiced cocoa powder finishing flavor. Really excellent as single origin espresso and would make a great base for cappuccino too.","The coffee washing station at Rugembe Hill is not the highest altitude site we're buying from in Mutambu, but it was certainly one of the best we cupped when visiting last Summer. It's worth noting that while the wet mill isn't all that high up, the steep mountainside quickly reaches up toward 2000 meters where the coffee is grown. All of the lower altitude coffee near the wet mill is processed separately as a different grade. This is the first year we've bought coffee from this group, going all in with 4 lots from their various coffee processing sites in the region. The coffee is depulped using a 3-disc depulper, fermented with water and graded in long cement washing channels. Before drying on long, raised drying beds, the wet parchment drip-dries on small screens where any physical defects that can be identified by sight are removed.",,,,,,,
Burundi Collines Masenga,https://www.sweetmarias.com/burundi-colline-masenga-8658.html,$9.05,,Masenga Hill,Africa,89.2,1,8.8,9,9,9,8.3,8.9,9,8.7,9,8.5,0,2,4,0,2.5,2.5,0,2,0,0,3.5,3,Wet Process (Washed),Bourbon Types,Bourbon,Yes,Wet Process (Washed),Raised Bed Sun-Dried,May 2026,42,60 KG,GrainPro Liner,A1,".2 d/300gr, 15-17 Screen",City to City+,Farm Gate,,"The profile is on the delicate and bright side for Burundi, with elegant acidity that weaves through complex raw sugar sweetness. Top notes hint at cinnamon stick, rose hips tea, and lemon. Excellent pour-over. City to City+.","We've really enjoyed the light/bright aspects found in this year's coffee from Masenga. Compared to the others in the box, the profile is a bit more delicate and high-toned, with elegant acidity that weaves through complex sweetness at lighter roast levels. The fragrance had a maple sugar note that was quite potent, with sprinkles of unrefined sugar, and complex baking spices. The wet aromatics were a bit more spice-forward, all spice and cinnamon notes layered with dark sugar,  honey, and a hint of orange. Some of that spiced complexity comes through in the cup too, well-integrated and balanced, and sits nicely with the assemblage of raw sugar notes that inform the core cup sweetness. As the coffee cools, the delicate aspects start to outline more distinct flavors of cinnamon stick, chamomile and rose hips teas, along with a hint of lemon essence. These aspects bring quite a bit of interest to light City roasts, and lighter body paired with tartaric acidity shines a light on Masenga's crisp cup profile.","This coffee comes from the Masenga hill (""colline"") region, and part of a cluster of hilltop villages that we bought coffee from this year. It's opposite of Migoti hill, which you may be familiar with from our site. In fact, this coffee is from the same group, headed by a man named Dan Brose, and his partner Poncien. They buy coffee from the surrounding hillsides and then process it at their wet milling site in Migoti. With plenty of washing tanks, Migoti is well-equipped to manage lot separations in order to isolate different qualities during the main part of the harvest. They have two sets of tanks and the coffee is fermented in 2 stages. The first stage is dry fermentation, where the coffee is poured into the cement tanks without water. After 12 hours, fermentation is well underway. The coffee is then moved to a second tank where water is added and the process continues for another half-day, after which it is soaked in clean water for 4 to 6 hours. Once the fruit mucilage is completely washed away, the coffee is moved to what are called ""skin drying tables"" where it is hand sorted for defects that are easiest to see while the coffee is still wet. Finally, the coffee is moved to raised beds and dried the rest of the way down to 11% moisture.",,,,,,,
Burundi Dry Process Colline Kigina,https://www.sweetmarias.com/burundi-dry-process-colline-kigina-8665.html,$9.50,,"Colline Kigina, Bujumbura",Africa,89.4,1,9,9.1,8.7,9.1,8.9,8.8,9,8,9.5,8.3,0,2,3.5,1,4.5,0,4,3.5,0,3,2,4,Dry Process (Natural),Bourbon Types,Bourbon,Yes,Dry Process (Natural),Raised Bed Sun-Dried,May 2026,33,60 KG,GrainPro Liner,A1,".4 d/300gr, 15-17 Screen",City to Full City,Farm Gate,,"Berry-toned dry process that's quite versatile in the roaster. Notes of blackberry, dried mango, fig, sorghum syrup, blueberry muffin, and chocolate bittersweets that are drawn out in medium roasts. City to Full City.","Kigina turned out to be very versatile in the roaster. It delivered berry-toned flavors in both our roast tests, with fruited brightness and rustic raw sugars at City, and more of a weighty bittersweet backdrop with dried fruit accents in the medium roasts. Grinding the coffee releases sweet undertones accented by dried berries, and a fragrant honey note. The aroma from the wet grounds extracts a more caramelized sweetness, like cooked brown sugars accented by pastry fillings of dark stone fruits, and a distinct note of steeped black tea. At City roast level, the brew has a nice berry-laden profile that weaves in notes unrefined sugars, like sorghum syrup and date sugar. It's a moderately bright dry process coffee too, with hints of fruit syrups, blackberry, and fig paste providing flavorful counterpoints to bittersweet notes that are a bit more resounding in the aftertaste. There's a tropical note as it cools that reminded me of guava candies and dried mango, and the finish showed a hint of blueberry muffin too. If you're like me, and enjoy fruited espresso, Kigina's a real showstopper, but not for the faint of heart! Shots are layered with dark chocolate and fruit flavors, like extra dark chocolate, fruit compote, and raspberry-chocolate truffles. Perfect for my taste, but perhaps too ""wild"" for those after more chocolate-toned espresso.","This coffee is from small farms situated around Colline Kigina, or Kigina ""hill"". The farmers from Kigina delivery their coffee to a mill on the neightboring hill, called Kinama. In fact, we have a dry process lot from Kinama hill as well right now that you can check out here. Both coffees are from the same group, headed by a man named Dan Brose, and his partner Poncien. The station is only producing dry process coffee at the moment, from their own sector, as well as from a few of the surrounding peaks, like Kigina. They are currently building out a wet mill too so that they can begin wet processing too, hopefully starting next year. They planned to start last year, but there was a huge fuel shortage to run their diesel generator, and there is no grid power in this part of Nyabiraba. Kigina farms start around 1700 meters above sea level, and stretch up toward the 2000 mark. We were impressed by the fruit-forward, rustic cups this dry process coffee produced, and found it to be very flexible in the roaster. Dry process coffees produce more chaff than washed, which is something to keep an eye on. Don't let it build up between roast batches, especially in roasters with open heating coils, like the Behmor.",,,,,,,
Burundi Dry Process Nyabiraba Kinama,https://www.sweetmarias.com/burundi-dry-process-nyabiraba-kinama-8664.html,$9.35,,"Collines Kinama, Nyabiraba Commune",Africa,89,1,9,9.2,8.8,9,9,8.4,9,8,9.4,8.2,0,0,3.5,2,4,0,4,4,0,3,3,4,Dry Process (Natural),Bourbon Types,Bourbon,Yes,Dry Process (Natural),Raised Bed Sun-Dried,May 2026,33,60 KG,GrainPro Liner,A1,".4 d/300gr, 15-17 Screen",City to Full City+,Farm Gate,Yes,"Fruits are a big part of this dry process profile, thought it's bittersweet and spiced accents you're left to ponder in the finish. Hints of jellied cranberry, mango tea, high % dark chocolate, coriander. City to Full City+. Good for espresso.","Grinding a City roast brought a potent sweetness of caramel and unrefined sugars, dark berry, contrasted by a background note of cocoa. There's a scent of dark chocolate laced with raspberry in the City/City+, along with a hint of cherry that was sweet and pulpy. I picked up on a berry sauce note from the steam when pouring the hot water that smelled so nice, with layers of malted cocoa, and brown sugars behind it. All these aspects come together nicely in the brewed coffee, with delicious notes of fruits and berries playing off background bittersweet tones that fill out the middle and finish. The underlying sweetness in the hot cup had the rustic appeal of date sugar and sorghum syrup, accented by a drizzle of raspberry sauce. As the temperature dips, the profile opens up to more pulpy fruit accents like jellied cranberry sauce, blueberry preserves, along with a brisk note of mango tea. While fruits are very much a part of this dry process profile, your left pondering bittersweet flavors and spice accents in the finish, like rustic cocoa powder, high % cacao dark chocolate, and coriander. We enjoyed our light and medium roasts quite a bit, though I'm sure it will do well up to second crack. I pulled a shot of espresso with my Full City roast yielding 22 grams of espresso from 18 grams of coffee. The shot had tangy bittersweetness and fruit hints, like chocolate covered cherry, with a tart note of unripe orange, and long finish of bittering cacao nibs.","The Kinama mill is a coffee processing site in Nyabiraba Commune, not far from the Migoti washing station. In fact, they're run by the same group, headed by a man named Dan Brose, and his partner Poncien. The station is only producing dry process coffee at the moment, but they are building out their wet mill so that they can hopefully begin wet processing as well. They planned to start last year, but there was a huge fuel shortage to run their deisel generator, and there is no grid power in this part of Nyabiraba. Kinama serves the local farmers on and around ""Colline"" Kinama, or Kinama ""Hill"". It was erected in the last couple of years, partially funded with money from USAID, and a lot of help from locals. The Kinama site sits at 1650 meters above sea level, and farms at the top of the hill stretch up a little higher. We were impressed by the fruit-forward, rustic cups this dry process coffee produced, and found it to be very flexible in the roaster. Dry process coffees produce more chaff than washed, which is something to keep an eye on. Don't let it build up between roast batches, especially in roasters with open heating coils, like the Behmor.",,,,,,,
Burundi Monge Murambi Hill,https://www.sweetmarias.com/burundi-monge-murambi-hill-8659.html,$8.95,,"Colline Murambi, Mutambu, Bujumbura",Africa,88.7,1,8.7,8.9,8.8,8.9,8.8,8.7,9,8.5,8.9,8.5,0,4,4,1.5,2.5,2.5,2,4,0,0,2.5,4,Wet Process (Washed),Bourbon Types,Bourbon,Yes,Wet Process (Washed),Raised Bed Sun-Dried,May 2026,41,60 KG,GrainPro Liner,A1,".2 d/300gr, 15-17 Screen",City to Full City,Farm Gate,,"Syrupy bodied coffee with clean, bright flavors that are sweet from start to finish. Cane sugar and honey sweetness, hints of English Breakfast tea, orange essence, mouth-cleansing acidity. The complete package! City to Full City.","There's honey sweetness in the fragrance, with hints of vanilla cream soda, and aromatic maple sugar. The wet grounds also had a potent array of raw sugar notes that imbued the steam, along with accents of chocolate-covered fruit, loose leaf herbal tea, and dried berry. The hot cup starts off much simpler than the smells might lead on. But give it some time and the profile opens up as it cools. The profile is bright and clean, sweet from start to finish, and syrupy-bodied. City and City+ roasts show elements of raw cane sugar and honey, opening up to hints of English Breakfast tea, and orange essence. The acidity has a brisk quality that's also very tea-like, with pleasant bittering notes of tannic tea, and shaved citrus rind. I found the light roasts to the complete package; so sweet, nuanced and bright. The perfect coffee for pour-over brewing if there ever was one! Full City roasts were quite nice as well. The bittersweetness is more robust, interspersed with a note of star anise that brings some aromatic complexity to the low tones.","Not to be confused with ""Murambi"" in Kiganda, another coffee we've bought in the past (and again this year too!), this lot is from Mutambu Commune near the Monge Nature Reserve in Bujumbura. The coffee washing station is at a lower elevation than the coffee, which grows in the surriounding the steep hillside reaching over 2000 meters above sea level. Murambi is the name of one of the hilltop villages, or ""collines"", and the farmers from Mutambu sell their coffee to the station below. They are one of 4 hilltop villages that the folks who run the wet mill buy from, the others being Rugembe, Masenga and Migoti. This is the first year we've bought coffee from this group, going all in with lots from each colline. The coffee is depulped using a 3-disc depulper, fermented with water and graded in long cement washing channels. Before drying on long, raised drying beds, the wet parchment drip-dries on small screens where any physical defects that can be identified by sight are removed.",,,,,,,
