name,url,price_per_lb,total_price,bag_size,bag_type,country,region,altitude,grower,variety,process,flavor_notes,about,warehouse,position,certifications,is_staff_pick,inventory,overview_text,taste_text,source_text,word_cloud,sweetness,acidity,viscosity,balance,watchlist_match,watchlist_farm,watchlist_tier,watchlist_credential_type,watchlist_credential_detail,watchlist_notes,watchlist_url
78 Espresso Blend,https://royalcoffee.com/product/3427097000050229453/,$6.10,$602.92,98.84 lb,Full Bag,,"East Africa, Latin America",Variety of high altitude coffees,"Varies seasonally, featuring coffee producers from East Africa, Latin America",Heirloom varieties vary by season,A blend of Full Natural and dried in the sun | Fully washed and dried in the sun,"Dried raspberry, red grapefruit, honey, malt, milk chocolate","Our custom-built classic espresso blend is made from a mix of high-altitude coffees designed to satisfy the customer with a sweet tooth. Its namesake is Royal Coffee’s birth year, 1978. Keeping a heavy and sweet profile in mind, this new blend is great all by its lonesome, but has enough flavor to saturate even the milkiest drinks with chocolaty goodness. Our quality control and trading teams started by sampling, blending, roasting, tasting, and testing eligible lots. The resulting classic espresso profile is comprised of deep and fruity African coffees and clean Latin American lots that provide huge body and ample sweetness. What’s more, we’ve done all the workshopping with you in mind, so you can rely on a consistent coffee in the roaster and in your demitasse. Here’s to your success, and to many more years of excellent coffee!",Houston,SPOT,,,7 Bags,,,,,,,,,,,,,,,
78 Espresso Blend,https://royalcoffee.com/product/3427097000052974119/,,$595.83,100.14 lb,Full Bag,,"East Africa, Latin America",Variety of high altitude coffees,"Varies seasonally, featuring coffee producers from East Africa, Latin America",Heirloom varieties vary by season,A blend of Full Natural and dried in the sun | Fully washed and dried in the sun,"Dried raspberry, red grapefruit, honey, malt, milk chocolate","Our custom-built classic espresso blend is made from a mix of high-altitude coffees designed to satisfy the customer with a sweet tooth. Its namesake is Royal Coffee’s birth year, 1978. Keeping a heavy and sweet profile in mind, this new blend is great all by its lonesome, but has enough flavor to saturate even the milkiest drinks with chocolaty goodness. Our quality control and trading teams started by sampling, blending, roasting, tasting, and testing eligible lots. The resulting classic espresso profile is comprised of deep and fruity African coffees and clean Latin American lots that provide huge body and ample sweetness. What’s more, we’ve done all the workshopping with you in mind, so you can rely on a consistent coffee in the roaster and in your demitasse. Here’s to your success, and to many more years of excellent coffee!",Oakland,SPOT,,,148 Bags,,,,,,,,,,,,,,,
78 Espresso Blend,https://royalcoffee.com/product/3427097000056493182/,,$610.85,100.14 lb,Full Bag,,"East Africa, Latin America",Variety of high altitude coffees,"Varies seasonally, featuring coffee producers from East Africa, Latin America",Heirloom varieties vary by season,A blend of Full Natural and dried in the sun | Fully washed and dried in the sun,"Dried raspberry, red grapefruit, honey, malt, milk chocolate","Our custom-built classic espresso blend is made from a mix of high-altitude coffees designed to satisfy the customer with a sweet tooth. Its namesake is Royal Coffee’s birth year, 1978. Keeping a heavy and sweet profile in mind, this new blend is great all by its lonesome, but has enough flavor to saturate even the milkiest drinks with chocolaty goodness. Our quality control and trading teams started by sampling, blending, roasting, tasting, and testing eligible lots. The resulting classic espresso profile is comprised of deep and fruity African coffees and clean Latin American lots that provide huge body and ample sweetness. What’s more, we’ve done all the workshopping with you in mind, so you can rely on a consistent coffee in the roaster and in your demitasse. Here’s to your success, and to many more years of excellent coffee!",Houston,SPOT,,,10 Bags,,,,,,,,,,,,,,,
Bali Kala Patra Natural,https://royalcoffee.com/product/3427097000057805101/,,$891.46,132.28 lb,Full Bag,Bali,,,,,,,,Oakland,SPOT,,,20 Bags,,,,,,,,,,,,,,,
Bali Kintamani Kamala Dawon Yeast Inoculated Natural,https://royalcoffee.com/product/3427097000055179053/,,$982.79,132.28 lb,Full Bag,Bali,,,,,,,,Oakland,SPOT,,,30 Bags,,,,,,,,,,,,,,,
Bali Kintamani Wet Hull,https://royalcoffee.com/product/3427097000055179045/,,$712.79,132.28 lb,Full Bag,Bali,,,,,,,,Oakland,SPOT,,,260 Bags,,,,,,,,,,,,,,,
BALI ORGANIC BLUE MOON WET HULLED,https://royalcoffee.com/product/3427097000058465110/,,$733.24,132.39 lb,Full Bag,Bali,"Kintamani Highlands of Central Bali, Indonesia",1200 – 1600 masl,Producers organized through Subak Abian (SA) a traditional structure of farmer organization in upland Bali,"Bourbon, (S795 & USDA 762) Typica, and Catimor","Hand-picked, wet-hulled, two-step sun drying on raised beds","Orange, stone fruit, cedar, molasses","Bali Blue Moon is a Royal staple named after the hallmark bluish hue of the bean produced from the wet-hulling process called Giling Basah in the Indonesian language. The bulk of Bali’s coffee production comes from small family-owned farms where each producer uses a few acres to cultivate coffee along with citrus trees in the volcanic soils of Mount Agung’s Kintamani highlands. They carefully sort their harvested cherries before depulping and fermenting overnight with their own micro-mills. Then the coffee is washed and laid out on patios to shed the excess water from the coffee parchment. Next the coffee takes a detour from the conventional path of processing in other origins, wherein, the coffee parchment is removed while the coffee still has a high moisture content. This wet-hulling process or Giling Basah leaves the coffee bean exposed while drying on patios to a moisture percentage acceptable for export and gives the beans their distinct bluish color.Balinese producers continue to maintain a traditional rural lifestyle organized around a Subak Abian, which is a reference to the ecologically sustainable irrigation systems developed more than 1,000 years ago by Hindu priests who practice Tri Hita Karana (the three sources of prosperity), a philosophy focused on the harmonization between the environment, humans and God. These traditions are followed in coffee cultivation, which means pesticides and synthetic fertilizers are never used.In recent years, local producer groups have begun to partner with regional exporters like Indokom to establish organic and Rainforest Alliance certifications, which harmonize with their traditional principles of conserving forest, soil, and water resources. Indokom also collaborates with producers to overcoming logistical challenges like rugged roads and lack of infrastructure. Indokom provides logistics and milling facilities, which improves traceability and quality control throughout the post-harvest process, as well as, the ability to swiftly bring the coffee to the international market, ensuring greater producer earnings from direct trade relationships.",Midwest,SPOT,Organic,,20 Bags,,,,,,,,,,,,,,,
BALI ORGANIC BLUE MOON WET HULLED,https://royalcoffee.com/product/3427097000054839449/,,$710.15,132.28 lb,Full Bag,Bali,"Kintamani Highlands of Central Bali, Indonesia",1200 – 1600 masl,Producers organized through Subak Abian (SA) a traditional structure of farmer organization in upland Bali,"Bourbon, (S795 & USDA 762) Typica, and Catimor","Hand-picked, wet-hulled, two-step sun drying on raised beds",,"Bali Blue Moon is a Royal staple named after the hallmark bluish hue of the bean produced from the wet-hulling process called Giling Basah in the Indonesian language. The bulk of Bali’s coffee production comes from small family-owned farms where each producer uses a few acres to cultivate coffee along with citrus trees in the volcanic soils of Mount Agung’s Kintamani highlands. They carefully sort their harvested cherries before depulping and fermenting overnight with their own micro-mills. Then the coffee is washed and laid out on patios to shed the excess water from the coffee parchment. Next the coffee takes a detour from the conventional path of processing in other origins, wherein, the coffee parchment is removed while the coffee still has a high moisture content. This wet-hulling process or Giling Basah leaves the coffee bean exposed while drying on patios to a moisture percentage acceptable for export and gives the beans their distinct bluish color.Balinese producers continue to maintain a traditional rural lifestyle organized around a Subak Abian, which is a reference to the ecologically sustainable irrigation systems developed more than 1,000 years ago by Hindu priests who practice Tri Hita Karana (the three sources of prosperity), a philosophy focused on the harmonization between the environment, humans and God. These traditions are followed in coffee cultivation, which means pesticides and synthetic fertilizers are never used.In recent years, local producer groups have begun to partner with regional exporters like Indokom to establish organic and Rainforest Alliance certifications, which harmonize with their traditional principles of conserving forest, soil, and water resources. Indokom also collaborates with producers to overcoming logistical challenges like rugged roads and lack of infrastructure. Indokom provides logistics and milling facilities, which improves traceability and quality control throughout the post-harvest process, as well as, the ability to swiftly bring the coffee to the international market, ensuring greater producer earnings from direct trade relationships.",Oakland,SPOT,Organic,Yes,320 Bags,,,,,,,,,,,,,,,
BALI ORGANIC BLUE MOON WET HULLED,https://royalcoffee.com/product/3427097000058126356/,,$686.14,132.28 lb,Full Bag,Bali,"Kintamani Highlands of Central Bali, Indonesia",1200 – 1600 masl,Producers organized through Subak Abian (SA) a traditional structure of farmer organization in upland Bali,"Bourbon, (S795 & USDA 762) Typica, and Catimor","Hand-picked, wet-hulled, two-step sun drying on raised beds",,"Bali Blue Moon is a Royal staple named after the hallmark bluish hue of the bean produced from the wet-hulling process called Giling Basah in the Indonesian language. The bulk of Bali’s coffee production comes from small family-owned farms where each producer uses a few acres to cultivate coffee along with citrus trees in the volcanic soils of Mount Agung’s Kintamani highlands. They carefully sort their harvested cherries before depulping and fermenting overnight with their own micro-mills. Then the coffee is washed and laid out on patios to shed the excess water from the coffee parchment. Next the coffee takes a detour from the conventional path of processing in other origins, wherein, the coffee parchment is removed while the coffee still has a high moisture content. This wet-hulling process or Giling Basah leaves the coffee bean exposed while drying on patios to a moisture percentage acceptable for export and gives the beans their distinct bluish color.Balinese producers continue to maintain a traditional rural lifestyle organized around a Subak Abian, which is a reference to the ecologically sustainable irrigation systems developed more than 1,000 years ago by Hindu priests who practice Tri Hita Karana (the three sources of prosperity), a philosophy focused on the harmonization between the environment, humans and God. These traditions are followed in coffee cultivation, which means pesticides and synthetic fertilizers are never used.In recent years, local producer groups have begun to partner with regional exporters like Indokom to establish organic and Rainforest Alliance certifications, which harmonize with their traditional principles of conserving forest, soil, and water resources. Indokom also collaborates with producers to overcoming logistical challenges like rugged roads and lack of infrastructure. Indokom provides logistics and milling facilities, which improves traceability and quality control throughout the post-harvest process, as well as, the ability to swiftly bring the coffee to the international market, ensuring greater producer earnings from direct trade relationships.",Oakland,SPOT,Organic,,320 Bags,,,,,,,,,,,,,,,
BOLIVIA ORGANIC CARANAVI ALJIRI,https://royalcoffee.com/product/3427097000055301714/,,$866.64,152.31 lb,Full Bag,Bolivia,"Collasuyo Community, Caranavi province, La Paz Department, Bolivia",1530 masl,19 members of Cooperativa Aljiri,Catuai,"Fully washed, mechanically dried","Kiwi, grapefruit, passion fruit, melon, toffee, walnut, pine","Regional DetailsCoffee has been cultivated in Bolivia for hundreds of years, but now a new generation of coffee farmers dedicated to producing high-quality coffee are taking the stage in Bolivia. For the first time in the country’s history, green coffee production has funding and support from the federal government, fueling the search for knowledge among dedicated young coffee professionals.  The epicenter in the rise of Bolivian specialty coffee is in the Yungas region, where most farms were first established after a wave of migration to the region caused by Bolivia’s Agrarian Revolution in the 1950s.Processing DetailsThis particular lot comes from 19 producers who cultivate coffee in the community of Collasuyo. During the harvest, cherries are carefully harvested, sorted and floated to remove damaged and less dense beans before depulping, fermenting, washing, and drying the coffee using micro-mills located on each farm.Cooperative DetailsThe producers in Collasuyo are members of a cooperative called Aljiri, which is located in the municipality of Caranavi, in the department of La Paz.  The cooperative is structured to support small farms through investment in critical infrastructure and logistics, encompassing road enhancements, the establishment of local warehouses, and overseeing the preparation of coffee for export. This coordinated effort ensures traceability and maintains quality control.  Aljiri also provides comprehensive technical support to farmers. This encompasses guidance spanning from seed selection to coffee processing, and extends to valuable assistance in navigating the certification process.",Shanghai,,Organic,,3 Bags,,,,,,,,,,,,,,,
